Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  188    368.10      19.00      1      1     391.48      23.37      410.47      42.37
  191    378.74      0.54      0      0     391.55      12.81      392.09      13.35
  195    381.86      1.31      0      0     392.09      10.23      393.40      11.54
  196    387.04      30.45      0      0     393.40      6.36      423.85      36.82
  189    376.90      13.51      2      2     400.15      23.25      413.66      36.76
  192    379.02      10.27      1      1     410.47      31.45      420.74      41.72
  190    378.63      0.96      2      2     413.66      35.03      414.62      35.99
  193    379.49      3.50      2      2     414.62      35.13      418.12      38.63
  206    401.87      10.61      2      2     418.12      16.25      428.72      26.85
  194    379.74      1.60      1      1     420.74      41.00      422.34      42.60
  201    392.90      11.36      1      1     422.34      29.44      433.70      40.81
  197    389.11      25.99      0      0     423.85      34.74      449.85      60.73
  211    415.47      8.68      2      2     428.72      13.25      437.41      21.94
  210    412.08      3.27      1      1     433.70      21.62      436.98      24.89
  213    421.09      17.93      1      1     436.98      15.89      454.91      33.82
  212    420.27      0.56      2      2     437.41      17.13      437.96      17.69
  215    431.46      0.30      2      2     437.96      6.50      438.26      6.80
  216    432.76      13.34      2      2     438.26      5.50      451.60      18.84
  200    392.29      3.04      0      0     449.85      57.55      452.89      60.59
  221    437.99      1.74      2      2     451.60      13.61      453.34      15.35
